,COMM_NUM,CNAME_E,Sector,Community Latitude,Community Longitude,Venue Id,Venue,Venue Latitude,Venue Longitude,Venue Category,Stats TipsCount,Stats UsersCount,Stats CheckinsCount,Rating,Url,Price Tier,geometry,COMMUINITY_NAME
0,111,AL CORNICHE,1,25.27783714,55.30255686,4ccafdcaaa25a35d0e100b0f,Miyako 京,25.27892457,55.30434349,Japanese Restaurant,11,213,406,8.7,http://dubai.regency.hyatt.com/en/hotel/dining/Miyako.html,2.0,POINT (55.30434349 25.27892457),AL CORNICHE
1,111,AL CORNICHE,1,25.27783714,55.30255686,4d76451348b7f04dabadf2f5,Al Dawaar,25.27911064,55.30441401,Restaurant,19,533,651,8.5,http://dubai.regency.hyatt.com/en/hotel/dining/AlDawaar.html,2.0,POINT (55.30441401 25.27911064),AL CORNICHE
2,111,AL CORNICHE,1,25.27783714,55.30255686,4c0190f4b58376b05062443c,The Kitchen,25.2790466,55.30426688,Restaurant,3,242,437,8.3,http://dubai.regency.hyatt.com/en/hotel/dining/TheKitchen.html,2.0,POINT (55.30426688 25.2790466),AL CORNICHE
3,111,AL CORNICHE,1,25.27783714,55.30255686,4df4e8d9aeb7170aa2f5e7c5,Club Olympus,25.27836185,55.30443792,Gym,2,167,749,8.2,http://dubai.regency.hyatt.com/en/hotel/dining/ClubOlympusPoolsideSnackBar.html,,POINT (55.30443792 25.27836185),AL CORNICHE
4,111,AL CORNICHE,1,25.27783714,55.30255686,4bb0bf0ef964a52055593ce3,Hyatt Regency Dubai (حياة ريجنسي),25.27924,55.30436384,Hotel,55,4498,8660,8.1,http://dubai.regency.hyatt.com,,POINT (55.30436384 25.27924),AL CORNICHE
5,111,AL CORNICHE,1,25.27783714,55.30255686,508ebc87e4b0d79b8faf6a9c,Sharzad,25.27901708,55.30424894,Middle Eastern Restaurant,4,36,45,7.5,,2.0,POINT (55.30424894 25.27901708),AL CORNICHE
6,111,AL CORNICHE,1,25.27783714,55.30255686,502e2c2be4b0b49bb4af9a46,Ice Rink - Hyatt Regency Dubai,25.27846648,55.30455131,Skating Rink,4,234,422,7.3,http://dubai.regency.hyatt.com/en/hotel/activities/hotel-activities/iceskating.html,,POINT (55.30455131 25.27846648),AL CORNICHE
7,111,AL CORNICHE,1,25.27783714,55.30255686,4dc64905d4c0ad9c0f9e11e5,Hyatt Regency Swimming Pool,25.27920521,55.30438483,Pool,3,266,421,7.3,http://dubai.regency.hyatt.com/en/hotel/activities/hotel-activities/pool.html,,POINT (55.30438483 25.27920521),AL CORNICHE
8,111,AL CORNICHE,1,25.27783714,55.30255686,4d8ba29437c6a1435facae0c,The Premiere,25.27873728,55.30496612,Nightclub,5,334,473,7.2,http://dubai.regency.hyatt.com/en/hotel/dining/ThePremiereNightclub.html,3.0,POINT (55.30496612 25.27873728),AL CORNICHE
9,112,AL RAS,1,25.26901101,55.29562583,50eaa149e4b0c29c8f19b35c,أرض الزعفران,25.26984012,55.29789951,Flower Shop,3,360,475,8.9,,,POINT (55.29789951 25.26984012),AL RAS
10,112,AL RAS,1,25.26901101,55.29562583,4c0bb219bbc676b097db4bd5,AMIT Garmin أميت. وكيل جارمن,25.26626817,55.29514608,Electronics Store,1,31,41,8.5,,,POINT (55.29514608 25.26626817),AL RAS
11,112,AL RAS,1,25.26901101,55.29562583,4c617c32832fa593c32cf2d3,Jafer Biman Ali Juices جعفر بيمان علي,25.26774601,55.29764576,Juice Bar,5,76,105,7.8,,1.0,POINT (55.29764576 25.26774601),AL RAS
